Bin1: centrality∈[0,10％]
Bin2: centrality∈[10％,20％]
Bin3: centrality∈[20％,30％]
Bin4: centrality∈[30％,100％]
Bin5: centrality∈[0,100％]
x=0.4 tauB=0.08fm/c a=1.
Bin1: ΔM=-0.03810458GeV	Δσ=0.01773768GeV
Bin2: ΔM=-0.06403426GeV	Δσ=0.00361288GeV
Bin3: ΔM=-0.06907545GeV	Δσ=0.00506287GeV
Bin4: ΔM=-0.07097187GeV	Δσ=0.01109858GeV
Bin5: ΔM=-0.05528959GeV	Δσ=0.01934018GeV
x=0.4 tauB=0.08fm/c a=1.5
Bin1: ΔM=-0.01510390GeV	Δσ=0.00709073GeV
Bin2: ΔM=-0.02623297GeV	Δσ=0.00093584GeV
Bin3: ΔM=-0.02955941GeV	Δσ=0.00112542GeV
Bin4: ΔM=-0.03210297GeV	Δσ=0.00336952GeV
Bin5: ΔM=-0.02316983GeV	Δσ=0.00854426GeV
x=0.4 tauB=0.08fm/c a=2.
Bin1: ΔM=-0.00892037GeV	Δσ=0.00418707GeV
Bin2: ΔM=-0.01562555GeV	Δσ=0.00064836GeV
Bin3: ΔM=-0.01800813GeV	Δσ=0.00084543GeV
Bin4: ΔM=-0.02022740GeV	Δσ=0.00207252GeV
Bin5: ΔM=-0.01402651GeV	Δσ=0.00537911GeV
x=0.4 tauB=0.08fm/c a=2.5
Bin1: ΔM=-0.00631477GeV	Δσ=0.00295644GeV
Bin2: ΔM=-0.01102242GeV	Δσ=0.00046852GeV
Bin3: ΔM=-0.01275276GeV	Δσ=0.00067588GeV
Bin4: ΔM=-0.01452397GeV	Δσ=0.00152905GeV
Bin5: ΔM=-0.00995643GeV	Δσ=0.00385203GeV
x=0.4 tauB=0.08fm/c a=3.
Bin1: ΔM=-0.00504995GeV	Δσ=0.00235335GeV
Bin2: ΔM=-0.00874781GeV	Δσ=0.00037730GeV
Bin3: ΔM=-0.01011510GeV	Δσ=0.00058481GeV
Bin4: ΔM=-0.01155220GeV	Δσ=0.00126354GeV
Bin5: ΔM=-0.00792125GeV	Δσ=0.00305417GeV
x=0.4 tauB=0.16fm/c a=1.
Bin1: ΔM=-0.06135963GeV	Δσ=0.02906853GeV
Bin2: ΔM=-0.10260711GeV	Δσ=0.01594807GeV
Bin3: ΔM=-0.11040697GeV	Δσ=0.02270376GeV
Bin4: ΔM=-0.11319975GeV	Δσ=0.03504926GeV
Bin5: ΔM=-0.08858447GeV	Δσ=0.03534330GeV
x=0.4 tauB=0.16fm/c a=1.5
Bin1: ΔM=-0.02940520GeV	Δσ=0.01373270GeV
Bin2: ΔM=-0.05047617GeV	Δσ=0.00225281GeV
Bin3: ΔM=-0.05635999GeV	Δσ=0.00324693GeV
Bin4: ΔM=-0.06049146GeV	Δσ=0.00771563GeV
Bin5: ΔM=-0.04441875GeV	Δσ=0.01618548GeV
x=0.4 tauB=0.16fm/c a=2.
Bin1: ΔM=-0.01998067GeV	Δσ=0.00935498GeV
Bin2: ΔM=-0.03468985GeV	Δσ=0.00185759GeV
Bin3: ΔM=-0.03953440GeV	Δσ=0.00285383GeV
Bin4: ΔM=-0.04377820GeV	Δσ=0.00576595GeV
Bin5: ΔM=-0.03094531GeV	Δσ=0.01175317GeV
x=0.4 tauB=0.16fm/c a=2.5
Bin1: ΔM=-0.01547009GeV	Δσ=0.00723461GeV
Bin2: ΔM=-0.02686908GeV	Δσ=0.00166177GeV
Bin3: ΔM=-0.03087873GeV	Δσ=0.00270789GeV
Bin4: ΔM=-0.03475721GeV	Δσ=0.00503390GeV
Bin5: ΔM=-0.02415585GeV	Δσ=0.00937889GeV
x=0.4 tauB=0.16fm/c a=3.
Bin1: ΔM=-0.01309666GeV	Δσ=0.00610628GeV
Bin2: ΔM=-0.02264088GeV	Δσ=0.00155478GeV
Bin3: ΔM=-0.02610118GeV	Δσ=0.00261693GeV
Bin4: ΔM=-0.02957612GeV	Δσ=0.00467814GeV
Bin5: ΔM=-0.02044341GeV	Δσ=0.00801610GeV
x=0.4 tauB=0.24fm/c a=1.
Bin1: ΔM=-0.08029808GeV	Δσ=0.03981236GeV
Bin2: ΔM=-0.13416999GeV	Δσ=0.03640573GeV
Bin3: ΔM=-0.14436191GeV	Δσ=0.05192754GeV
Bin4: ΔM=-0.14785509GeV	Δσ=0.07494471GeV
Bin5: ΔM=-0.11582980GeV	Δσ=0.05760109GeV
x=0.4 tauB=0.24fm/c a=1.5
Bin1: ΔM=-0.04247177GeV	Δσ=0.01984265GeV
Bin2: ΔM=-0.07251815GeV	Δσ=0.00500543GeV
Bin3: ΔM=-0.08051050GeV	Δσ=0.00747512GeV
Bin4: ΔM=-0.08607977GeV	Δσ=0.01445284GeV
Bin5: ΔM=-0.06369209GeV	Δσ=0.02353036GeV
x=0.4 tauB=0.24fm/c a=2.
Bin1: ΔM=-0.03098898GeV	Δσ=0.01450011GeV
Bin2: ΔM=-0.05350118GeV	Δσ=0.00394684GeV
Bin3: ΔM=-0.06065481GeV	Δσ=0.00621019GeV
Bin4: ΔM=-0.06667586GeV	Δσ=0.01114260GeV
Bin5: ΔM=-0.04760019GeV	Δσ=0.01824167GeV
x=0.4 tauB=0.24fm/c a=2.5
Bin1: ΔM=-0.02510568GeV	Δσ=0.01175802GeV
