run_number,fill_number,duration,delivered_lumi,recorded_lumi,start_time,end_time,l1_triggers_counter,hlt_physics_counter,components,l1_hlt_mode_stripped,l1_key,hlt_key
325175,7334,700,1.78721875,1.64928125,2018-10-24 03:55:19,2018-10-24 04:06:59,12080346.0,68656.0,"[CSC, CTPPS, CTPPS_TOT, DAQ, DCS, DQM, DT, ECAL, ES, GEM, HCAL, PIXEL, RPC, SCAL, TCDS, TRACKER, TRG]",collisions2018/v228,l1_trg_collisions2018/v70,/cdaq/physics/Run2018/2e34/v3.6.1/HLT/V2
325172,7334,11136,72.9396875,68.9544375,2018-10-24 00:21:29,2018-10-24 03:27:05,692526283.0,7016350.0,"[CSC, CTPPS, CTPPS_TOT, DAQ, DCS, DQM, DT, ECAL, ES, GEM, HCAL, PIXEL, RPC, SCAL, TCDS, TRACKER, TRG]",collisions2018/v228,l1_trg_collisions2018/v70,/cdaq/physics/Run2018/2e34/v3.6.1/HLT/V2
325170,7334,28105,275.800921875,265.1640546875,2018-10-23 16:30:25,2018-10-24 00:18:50,2236336041.0,25553288.0,"[CSC, CTPPS, CTPPS_TOT, DAQ, DCS, DQM, DT, ECAL, ES, GEM, HCAL, PIXEL, RPC, SCAL, TCDS, TRACKER, TRG]",collisions2018/v227,l1_trg_collisions2018/v70,/cdaq/physics/Run2018/2e34/v3.6.1/HLT/V2
325169,7334,578,9.0970546875,5.5468515625,2018-10-23 16:18:28,2018-10-23 16:28:06,38606244.0,526624.0,"[CSC, CTPPS, CTPPS_TOT, DAQ, DCS, DQM, DT, ECAL, ES, GEM, HCAL, PIXEL, RPC, SCAL, TCDS, TRACKER, TRG]",collisions2018/v227,l1_trg_collisions2018/v70,/cdaq/physics/Run2018/2e34/v3.6.1/HLT/V2
325168,7334,454,7.6925546875,4.264390625,2018-10-23 16:08:41,2018-10-23 16:16:15,29746991.0,406509.0,"[CSC, CTPPS, CTPPS_TOT, DAQ, DCS, DQM, DT, ECAL, ES, GEM, HCAL, PIXEL, RPC, SCAL, TCDS, TRACKER, TRG]",collisions2018/v227,l1_trg_collisions2018/v70,/cdaq/physics/Run2018/2e34/v3.6.1/HLT/V2
325159,7334,6082,72.3057734375,62.41458203125,2018-10-23 14:19:04,2018-10-23 16:00:26,413486810.0,7359700.0,"[CSC, CTPPS, CTPPS_TOT, DAQ, DCS, DQM, DT, ECAL, ES, GEM, HCAL, PIXEL, RPC, SCAL, TCDS, TRACKER, TRG]",collisions2018/v227,l1_trg_collisions2018/v70,/cdaq/physics/Run2018/2e34/v3.6.1/HLT/V2
325117,7333,12704,92.91140625,87.42559375,2018-10-23 07:37:40,2018-10-23 11:09:24,894531870.0,8690547.0,"[CSC, CTPPS, CTPPS_TOT, DAQ, DCS, DQM, DT, ECAL, ES, HCAL, PIXEL, RPC, SCAL, TCDS, TRACKER, TRG]",collisions2018/v225,l1_trg_collisions2018/v70,/cdaq/physics/Run2018/2e34/v3.6.1/HLT/V2
325114,7333,212,6.5190625,1.34990625,2018-10-23 07:24:47,2018-10-23 07:28:19,6597290.0,785520.0,"[CSC, CTPPS, CTPPS_TOT, DAQ, DCS, DQM, DT, ECAL, ES, HCAL, PIXEL, RPC, SCAL, TCDS, TRACKER, TRG]",collisions2018_kalman_validation/v5,l1_trg_collisions2018_kalman_validation/v4,/cdaq/physics/Run2018/2e34/v3.6.1/HLT/V1
325113,7333,2830,27.0338125,21.83246875,2018-10-23 06:34:14,2018-10-23 07:21:24,103933500.0,12379477.0,"[CSC, CTPPS, CTPPS_TOT, DAQ, DCS, DQM, DT, ECAL, ES, HCAL, PIXEL, RPC, SCAL, TCDS, TRACKER, TRG]",collisions2018_kalman_validation/v5,l1_trg_collisions2018_kalman_validation/v4,/cdaq/physics/Run2018/2e34/v3.6.1/HLT/V1
325111,7333,455,7.89196875,3.812625,2018-10-23 05:55:45,2018-10-23 06:03:20,21736421.0,2520130.0,"[CSC, CTPPS, CTPPS_TOT, DAQ, DCS, DQM, DT, ECAL, ES, HCAL, PIXEL, RPC, SCAL, TCDS, TRACKER, TRG]",collisions2018_kalman_validation/v5,l1_trg_collisions2018_kalman_validation/v4,/cdaq/physics/Run2018/2e34/v3.6.1/HLT/V1
